customer_number,contact_lastname,contact_firstname,phone,address_line1,address_line2,city,state,postal_code,country,sales_employee_number,credit_limit
754393,Fox,Luis,+1-541-717-9753,7681 Stephen Forks Suite 186,Suite 956,New Brian,Missouri,19095,Palau,826353,18178.05
101242,Lee,Jared,291.684.5986,03270 Lisa Island,Apt. 269,Gailfort,Rhode Island,82544,Grenada,301968,26786.39
548798,Pope,Kenneth,+1-907-832-8544x12394,58199 Sandy Rue Apt. 100,Apt. 774,West Donald,South Dakota,82025,Lesotho,622723,61367.7
750585,Bishop,Jon,8328426429,85681 Cain Squares Apt. 086,Apt. 791,South Karen,Hawaii,25984,Pitcairn Islands,837675,17790.87
415184,Smith,Katrina,001-626-584-6685,7278 Ryan Springs Suite 279,Suite 128,Lake Baileyview,Florida,34934,Namibia,984863,13724.91
391572,Wilson,Donna,001-584-475-0221,9029 Jessica Station Apt. 647,Suite 652,North Marcus,Nebraska,91566,France,201356,91713.92
321859,Robertson,Connie,902-659-5382x7867,233 Hall Square Apt. 113,Suite 832,New Jonathan,South Dakota,12984,Uzbekistan,197472,50597.08
817530,Vasquez,Rebecca,456.730.7092x8600,6839 Robert Mountains Apt. 608,Suite 133,Travisshire,Georgia,80171,Saint Barthelemy,877838,17606.14
365205,Franco,Carolyn,001-514-402-2505x490,087 Tracy Trail,Suite 528,Yufurt,Tennessee,56873,Sweden,769369,40682.94
937991,Dunn,Todd,+1-920-375-2873x38511,5412 Mendoza Meadow Suite 162,Apt. 193,North Gregoryton,Ohio,26944,Reunion,259866,49768.8
159418,Bender,Alyssa,540-315-5930x334,18143 West Row,Apt. 076,Garciaborough,Illinois,60202,Kuwait,622723,41582.58
219859,Thompson,Ashlee,204-918-0807x850,90335 Crawford Walk Apt. 232,Apt. 553,New Eugene,Rhode Island,37684,India,734541,97621.5
854524,Shaw,Michael,254.461.7934,871 Thomas Glen Apt. 281,Apt. 149,Yangbury,Nebraska,46561,Oman,140141,70996.61
750380,Maxwell,Rachel,443-570-0648x36021,3458 Michael Mount,Suite 846,East Alexander,Rhode Island,61748,Monaco,792145,35255.2
848062,Jackson,April,335.729.0539x6129,503 Molly Mews Suite 965,Apt. 205,Vanessaview,Pennsylvania,08852,Marshall Islands,835264,90610.89
975875,Chandler,Molly,+1-620-998-6150x40165,749 Johnson Locks,Suite 291,East Dianeview,Nebraska,24574,Tajikistan,453448,14353.06
736326,Ford,Jacqueline,(998)826-1663,8369 Michelle Ridge Apt. 509,Suite 743,West Benjamin,Utah,26104,Canada,842319,59567.82
593268,Koch,Rick,295-868-0372,8384 Phillips Fords Suite 043,Apt. 725,South Alisha,North Dakota,86280,Sweden,341557,26136.75
918590,Houston,Nicholas,+1-884-273-3339,84599 Garza Mission Apt. 587,Apt. 228,Danielmouth,Hawaii,69199,Saint Barthelemy,473232,53776.73
979459,Phillips,Kyle,636-793-9994x818,414 Keith Harbor Suite 065,Suite 924,East Sophiaside,Wisconsin,21504,Morocco,837675,37044.9
927637,Jones,Emily,001-318-924-6970x1412,31584 Nunez Garden Suite 694,Suite 335,Wyattstad,Minnesota,48523,Mali,321531,17449.65
441369,Meza,April,855.255.6233,3372 Melissa Trail,Suite 231,North Michele,Alaska,34272,Barbados,565698,54632.46
854300,Pena,Richard,(946)737-4036x45340,7364 Willie Shoals,Apt. 794,North Johnfurt,Idaho,68393,Paraguay,984863,12316.35
521170,Shaw,Christina,001-737-390-4459x6636,56338 Joseph Harbor Suite 877,Apt. 401,Port Matthew,California,89355,Belgium,944419,54282.53
897704,Murray,Bryan,832-829-0141x96405,503 Miller Bypass,Suite 133,South Maryfort,Maine,61981,Azerbaijan,734352,65756.09
785249,Anderson,Mark,(315)776-1063x00747,966 Page Coves Apt. 410,Suite 725,Hallshire,Nevada,76229,Micronesia,190935,2919.25
319646,Holmes,Robert,(897)236-6054x26946,25253 Stephanie Expressway Apt. 702,Suite 036,Port Andrew,Nevada,03259,Nauru,569031,84616.65
758655,Barnes,Gary,645.403.7506x736,7382 Williams Roads,Apt. 696,East Matthewville,Vermont,89010,Cocos (Keeling) Islands,201356,71565.68
952115,Hawkins,Ashley,001-793-462-1617x524,0247 Jason Grove,Suite 023,New John,Connecticut,26126,Equatorial Guinea,140141,88145.03
621514,Taylor,Mary,+1-495-720-6487x0885,18477 Debra Club,Suite 189,Laurenview,Washington,74736,Grenada,744864,93505.04
989934,Schneider,Debra,(607)554-1129x50134,51028 Megan Summit,Suite 030,East Juliemouth,Colorado,29420,Sao Tome and Principe,821323,93937.91
172674,Myers,Rebecca,(214)975-6440,207 Jackson Crossing,Suite 117,New Sally,Delaware,91240,United Kingdom,945814,93081.91
463257,Hooper,Olivia,626.970.1819x690,3735 Mitchell Corner,Suite 673,Lake Christopherbury,North Dakota,85517,Saint Pierre and Miquelon,182534,46878.19
777490,Newman,Lisa,953.396.4342,74067 Edwards Parkways Suite 068,Apt. 539,East William,Colorado,24520,Iceland,903289,42928.98
642842,Cole,Theodore,263-823-6622x40681,644 Michael Stream Suite 235,Apt. 829,Port Teresa,Colorado,77247,Suriname,411052,62089.12
908665,Taylor,Kathryn,(293)744-8715x399,208 Alyssa Ports,Apt. 123,Brownside,Kentucky,56047,Greenland,822661,82618.71
146971,Bautista,Amanda,001-831-383-3110x65921,2316 Lauren Circle,Suite 537,East Patrick,Idaho,31696,Mali,343057,54847.32
781243,Taylor,Dawn,(456)656-7846x829,313 Mark Union Apt. 169,Apt. 983,North Charlotteton,South Dakota,40099,Uganda,341557,68778.26
833973,Nguyen,Nicole,+1-890-606-0618x66209,553 Banks Shore,Suite 380,East Johnborough,Washington,82802,Kiribati,622723,45466.52
655313,Burns,Alexis,4576501599,64226 Brown Forks,Suite 965,South Wendy,Illinois,26544,Paraguay,669769,39033.62
681763,Lee,Natasha,(262)881-5700,1351 Boyer Manor,Suite 677,Ericaland,Arizona,10532,Saint Pierre and Miquelon,773414,64547.6
268750,Gardner,Holly,9715952995,3163 Emily Shoals Apt. 587,Suite 394,Lake Richardfort,Oregon,62614,Uzbekistan,201356,15193.68
316503,Gray,Joann,383-389-1241x64061,4989 Johnson Shore Apt. 847,Apt. 347,Cooperborough,Florida,45934,Dominican Republic,686140,65289.88
372649,Wolf,Scott,+1-590-967-9342x017,50141 Nelson Lights,Apt. 799,West Seantown,Massachusetts,61965,Croatia,633109,46787.81
691321,Velez,Maria,001-660-546-3874x6336,06366 Walter Burgs,Suite 172,Tinatown,Missouri,04500,Aruba,171467,90380.67
198209,Edwards,Shawn,556.272.7879,2178 Mccormick Port Suite 199,Apt. 069,New Julia,Nebraska,39458,Zimbabwe,686140,5791.9
723919,Gutierrez,Jesse,575.204.8015x650,00579 Sabrina Corners Suite 876,Suite 362,Boylefort,Vermont,48291,Thailand,171467,4007.77
923519,Buck,Rhonda,606-860-8802x3972,663 Mason Freeway,Suite 919,Boyerstad,South Dakota,13841,Venezuela,343057,87434.86
724360,Ruiz,Shannon,+1-347-607-8141x8890,798 Matthew Ways,Suite 150,Farmermouth,New Mexico,69239,Tonga,769281,55453.4
484737,West,Jacob,8919284835,9882 Savannah Way Suite 600,Suite 313,Rodriguezburgh,New Jersey,85636,Northern Mariana Islands,201356,25681.53
535682,Cooke,Kenneth,(803)443-1810x7413,1523 Harold Field Apt. 799,Suite 927,Trevinofurt,Wisconsin,36606,Mexico,835264,12152.49
303534,Harvey,John,001-944-252-5418,8906 Emily View Suite 029,Apt. 157,Williamshaven,New York,58775,Zambia,983751,77678.61
414196,Larson,Nicole,413.607.6879x87552,292 Kim Ferry Apt. 576,Suite 079,Amyport,Florida,22548,Spain,338578,56247.96
741539,Harris,Stephen,441-807-6891x778,67135 Taylor Underpass Suite 660,Suite 006,Stevenshaven,Nebraska,07210,Burundi,658527,50423.34
214511,Smith,Ashley,+1-500-537-2382x110,920 Nancy Roads Suite 002,Apt. 513,Port Markmouth,Vermont,53900,Cambodia,734541,60823.08
798340,Conley,Jordan,(729)586-9958x8668,0317 Jason Road,Apt. 433,Michellebury,South Dakota,18793,Puerto Rico,182534,58488.83
960035,Wheeler,Jamie,(205)494-2018,9727 Kaylee Road,Apt. 859,Port Sandraland,Minnesota,98620,Austria,984863,33667.5
968797,Parrish,Joseph,(229)272-0212x6528,3231 Levine Harbors,Suite 113,Shannonbury,Hawaii,52383,French Guiana,376138,15903.85
496036,Reeves,Noah,775.281.2685,1388 Patricia Place Suite 816,Suite 244,New Kevin,Nevada,85629,Trinidad and Tobago,105554,65021.78
125275,Hurst,Jeremiah,932-745-6557,7636 Katie Plain,Suite 160,Marktown,Missouri,79792,Fiji,301968,74193.69
970325,Williams,Jacqueline,001-638-427-3865x46657,947 Amber Route Apt. 474,Suite 104,Lake Andrea,North Dakota,02269,Bolivia,266299,35032.0
703395,Stout,Christopher,275.515.0222,9980 Dunn Land,Apt. 088,Amyshire,Maryland,33678,Myanmar,837675,78711.84
783517,Park,Bruce,625-701-5316x765,4152 Lisa Skyway Apt. 725,Suite 440,Meganshire,Connecticut,73445,Saint Barthelemy,769281,60660.2
416019,Yang,Shannon,001-570-739-7286,0810 Kelly Burg Suite 351,Suite 982,Port Raymondchester,Vermont,44749,Ecuador,376138,27099.69
975340,Conway,Tracy,(412)836-8368,4047 Julie Square Apt. 568,Apt. 509,Hernandezstad,Arkansas,87531,Belize,392848,17714.01
519115,Hoffman,Paul,808.690.5501,19981 Jeanette Plain,Apt. 384,Jeffreystad,Utah,42558,Sri Lanka,321021,36148.0
525383,Hernandez,Jennifer,+1-605-465-9958x002,71661 Coleman Path Suite 320,Apt. 278,Weberberg,Tennessee,39842,Taiwan,197472,82420.25
278017,Fuller,Alicia,(812)682-2744,16984 Harper Station Suite 977,Apt. 466,West Alan,Maryland,87085,Honduras,703124,89182.67
666924,Burke,Heather,9334183433,781 Rangel Spur,Suite 887,New James,Illinois,72756,French Polynesia,835264,16844.88
397136,Khan,Chelsea,+1-743-941-7251,589 Darryl Green Apt. 048,Suite 340,Phillipshaven,Washington,74406,Brazil,863820,91027.82
966025,Ramirez,Daniel,600-427-9072x106,225 Blevins Ports Suite 484,Apt. 021,Whitefort,Louisiana,77981,Jersey,534340,66244.21
907180,Carter,Karen,001-652-305-0876,48550 Linda Keys,Suite 804,New Cindy,Illinois,37586,Tajikistan,343057,67859.53
275414,Henderson,Daniel,001-660-241-6730,04055 Castillo Radial,Apt. 553,Lake Williammouth,Idaho,14572,Argentina,944419,29051.37
117756,Woods,Nicole,001-456-713-0146x1404,387 Joseph Springs,Apt. 290,West Catherinebury,Missouri,99507,Latvia,822661,90033.62
663774,Graves,Andrew,(951)484-5955x224,84804 Ann Walk Suite 248,Suite 524,East Nicholasland,Massachusetts,75993,Namibia,186599,80967.87
979364,Fletcher,Dylan,742-398-6338x779,85200 Pennington Expressway,Apt. 144,Lake Gary,Mississippi,44020,Sierra Leone,567217,45865.31
976238,Ramirez,Benjamin,315.525.4791,7152 Abigail Highway,Suite 186,New Marissaton,Utah,97830,Northern Mariana Islands,629399,40258.75
474169,Ibarra,Michael,+1-830-875-8375x47962,9244 Hanson Streets,Suite 953,North Candace,Iowa,42973,Grenada,877838,53081.3
398027,Nichols,Ronald,877-894-3037,740 Tammy Ways,Suite 880,Lynnbury,Idaho,84939,Kyrgyz Republic,703124,47659.45
545458,Rivera,Brandon,8029270648,203 Deborah Creek,Apt. 912,Lake Lindashire,Montana,25005,Monaco,341557,35077.25
661370,Preston,Johnny,(779)324-2329x34642,382 Harris Unions,Apt. 213,Willisland,Maryland,18182,Japan,473232,43337.11
659223,Crawford,Jennifer,(753)210-9481,823 Shepherd Crossing Apt. 296,Apt. 365,Jerrymouth,South Carolina,65442,Netherlands,266299,54578.63
853873,Castro,Christian,+1-388-473-5241x9195,0589 Colon Causeway Suite 569,Suite 608,North Laura,Massachusetts,28041,Togo,821323,78123.78
600519,Sanchez,Joseph,9909568611,165 Hansen Alley Apt. 244,Suite 826,North Vanessatown,Utah,87249,Turkey,455369,91146.07
449797,Petty,Natasha,+1-566-758-0210x0058,2869 Mercer Junctions,Suite 607,Jamesville,Pennsylvania,97605,Saint Helena,105554,8622.04
286034,Austin,Crystal,(334)877-2218,1015 Glenn Village Apt. 410,Apt. 918,West Tiffanyfort,Iowa,44489,French Polynesia,826353,91749.31
322435,Edwards,Lori,+1-340-489-0825x4004,981 Daniel Mountains Apt. 421,Suite 732,West Vickie,Tennessee,56391,Niue,903289,42898.38
923340,Walker,Seth,971.292.6581x749,27689 Joseph Viaduct Apt. 423,Suite 706,New Toddshire,Connecticut,65457,United States Virgin Islands,842319,66251.39
